Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (SIMR id)	PMID	Date
SMED30004304	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000002	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:32 2019
PCNA	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000002	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:32 2019
EU856391	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000002	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:32 2019
SMED30010115	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000002	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:32 2019
AFJ24744.1	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000002	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:32 2019
RNR_M2-2	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000002	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:32 2019
SMED30004304	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:37 2019
PCNA	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:37 2019
EU856391	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:37 2019
SMED30010115	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:37 2019
AFJ24744.1	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:37 2019
RNR_M2-2	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:37 2019
SMED30004304	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000004	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:40 2019
PCNA	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000004	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:40 2019
EU856391	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000004	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:40 2019
SMED30010115	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000004	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:40 2019
AFJ24744.1	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000004	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:40 2019
RNR_M2-2	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000004	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:40 2019
SMED30004304	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000005	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:43 2019
PCNA	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000005	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:43 2019
EU856391	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000005	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:43 2019
SMED30010115	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000005	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:43 2019
AFJ24744.1	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000005	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:43 2019
RNR_M2-2	PLANA:0004517: blastomere	ECO:0001839	PLANA:0000027	PLANA:0000005	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:43 2019
SMED30004304	PLANA:0004517: blastomere	ECO:0001047	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:49 2019
PCNA	PLANA:0004517: blastomere	ECO:0001047	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:49 2019
EU856391	PLANA:0004517: blastomere	ECO:0001047	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:49 2019
SMED30010115	PLANA:0004517: blastomere	ECO:0001047	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:49 2019
AFJ24744.1	PLANA:0004517: blastomere	ECO:0001047	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:49 2019
RNR_M2-2	PLANA:0004517: blastomere	ECO:0001047	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:49 2019
SMED30004304	PLANA:0004517: blastomere	ECO:0001047	PLANA:0000027	PLANA:0000004	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:52 2019
PCNA	PLANA:0004517: blastomere	ECO:0001047	PLANA:0000027	PLANA:0000004	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:52 2019
EU856391	PLANA:0004517: blastomere	ECO:0001047	PLANA:0000027	PLANA:0000004	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:52 2019
SMED30010115	PLANA:0004517: blastomere	ECO:0001047	PLANA:0000027	PLANA:0000004	PLANA:0000136	eld	28072387	Tue Dec 17 14:08:52 2019
