Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (ORCID)	PMID	Date
DN297663.1	PLANA:0000429: neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0003-2569-1939	24903754	Tue Feb 23 17:44:23 2021
DN297663.1	PLANA:0002020: chromatoid body	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0003-2569-1939	24903754	Tue Feb 23 17:44:23 2021
DQ344977	PLANA:0000429: neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0003-2569-1939	24903754	Tue Feb 23 17:44:45 2021
DQ186985	PLANA:0000429: neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0003-2569-1939	24903754	Tue Feb 23 17:44:45 2021
KC916780	PLANA:0002020: chromatoid body	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0003-2569-1939	24903754	Tue Feb 23 17:45:16 2021
KC916782	PLANA:0002020: chromatoid body	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0003-2569-1939	24903754	Tue Feb 23 17:45:16 2021
KC916779	PLANA:0002020: chromatoid body	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0003-2569-1939	24903754	Tue Feb 23 17:45:16 2021
KC916781	PLANA:0002020: chromatoid body	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0003-2569-1939	24903754	Tue Feb 23 17:45:16 2021
