Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (ORCID)	PMID	Date
Smed-beta-catenin-1	PLANA:0000103: central nervous system (Synonym = head-restricted nervous system	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:11:21 2019
Smed-beta-catenin-1	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:11:21 2019
Smed-beta-catenin-1	PLANA:0000097: ventral nerve cord	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:11:21 2019
Smed-beta-catenin-1	PLANA:0000136: whole organism	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:11:21 2019
Smed-beta-catenin-1	BFO:0000001: entity	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:11:21 2019
Smed-beta-catenin-1	PLANA:0000016: pharynx	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:11:21 2019
EU082826	PLANA:0000103: central nervous system (Synonym = head-restricted nervous system	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:11:21 2019
EU082826	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:11:21 2019
EU082826	PLANA:0000097: ventral nerve cord	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:11:21 2019
EU082826	PLANA:0000136: whole organism	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:11:21 2019
EU082826	PLANA:0000016: pharynx	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:11:21 2019
Smed-beta-catenin-2	PLANA:0000026: gut	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:13:35 2019
EU082825	PLANA:0000026: gut	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:13:35 2019
H.10.2f	PLANA:0000103: central nervous system	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:14:26 2019
H.10.2f	PLANA:0000080: peripheral nervous system	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:14:26 2019
opsin-1	PLANA:0000017: photoreceptor neuron	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:14:42 2019
cintillo	PLANA:0002055: mechanosensory neuron	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	18287199	Thu Nov 14 15:14:56 2019
