Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (SIMR id)	PMID	Date
Clone	PLANA:0000103: central nervous system	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	16033796	Mon Nov 11 23:51:28 2019
Clone	PLANA:0000465: obsolete pharynx nerve plexus	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	16033796	Mon Nov 11 23:51:28 2019
Clone	PLANA:0000467: submuscular nerve plexus	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	16033796	Mon Nov 11 23:51:28 2019
Clone	PLANA:0000036: eye (Synonym = photoreceptor	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	16033796	Mon Nov 11 23:51:28 2019
 AY945304 	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	16033796	Mon Nov 11 23:53:22 2019
 AY945304 	PLANA:0000097: ventral nerve cord	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	16033796	Mon Nov 11 23:53:22 2019
AY945305	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	16033796	Mon Nov 11 23:54:22 2019
AY945305	PLANA:0000097: ventral nerve cord	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	16033796	Mon Nov 11 23:54:22 2019
 AY945304 	PLANA:0000080: peripheral nervous system	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	eld	16033796	Mon Nov 11 23:54:58 2019
