Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (ORCID)	PMID	Date
HE577120.1	PLANA:0000136: whole organism	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	28893948	Fri Dec 20 01:47:22 2019
KU961518.1	PLANA:0000136: whole organism	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	28893948	Fri Dec 20 01:47:38 2019
KU961518.1	PLANA:0000429: neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	28893948	Fri Dec 20 01:47:38 2019
KY992929	PLANA:0000136: whole organism	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	28893948	Fri Dec 20 01:48:44 2019
KY964486	PLANA:0000136: whole organism	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	28893948	Fri Dec 20 01:49:16 2019
KY964486	PLANA:0000429: neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	28893948	Fri Dec 20 01:49:16 2019
KJ934814.1	PLANA:0000136: whole organism	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	28893948	Fri Dec 20 01:49:16 2019
KJ934814.1	PLANA:0000429: neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	28893948	Fri Dec 20 01:49:16 2019
