Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (SIMR id)	PMID	Date
dd_Smed_v4_12939_2_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_17402_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_14852_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_23400_0_2	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_12111_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_21060_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_15253_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_10216_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_3569_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_10727_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_11731_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_271_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_6965_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_5563_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_824_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_1297_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_6867_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_3082_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_14161_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_19475_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_13976_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_11123_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_11307_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_12329_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_7560_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_7268_1_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_11186_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_14651_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_3128_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_4858_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_13556_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
dd_Smed_v4_2156_0_1	PLANA:0002056: medial muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	29674431	Mon Feb 24 15:14:13 2020
