Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (SIMR id)	PMID	Date
Smed-slc6a-12	PLANA:0000065: flame cell	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 10:55:50 2019
Smed-slc17a-5	PLANA:0000065: flame cell	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 10:55:50 2019
Smed-slc44a-3	PLANA:0000065: flame cell	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 10:55:50 2019
Smed-slc1a-3	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 10:59:59 2019
Smed-slc4a-6	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 10:59:59 2019
Smed-slc5a-2	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 10:59:59 2019
Smed-slc5a-4	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 10:59:59 2019
Smed-slc6a-5	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 10:59:59 2019
Smed-slc6a-13	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 10:59:59 2019
Smed-slc6a-17	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 10:59:59 2019
Smed-slc13a-2	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 10:59:59 2019
Smed-slc13a-7	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc15a-2	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc15a-3	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc16a-22	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc17a-3	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc17a-5	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc20a-1	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc20a-2	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc22a-3	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc22a-5	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc22a-6	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc23a-1	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc23a-2	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc24a-5	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc24a-8	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc25a-22	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc26a-5	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc28a-1	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc28a-3	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc30a-3	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc43a-7	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc44a-3	PLANA:0000087: proximal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:00:00 2019
Smed-slc4a-6	PLANA:0000053: distal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:01:20 2019
Smed-slc6a-12	PLANA:0000053: distal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:01:20 2019
Smed-slc9a-3	PLANA:0000053: distal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:01:20 2019
Smed-slc12a-4	PLANA:0000053: distal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:01:20 2019
Smed-slc13a-7	PLANA:0000053: distal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:01:20 2019
Smed-slc17a-3	PLANA:0000053: distal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:01:20 2019
Smed-slc17a-3	PLANA:0000053: distal tubule	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	21828097	Wed Nov 13 11:01:20 2019
