Date	PMID	ORCID	Author	New	Correction	Additions	issue	full text
2021-10-28	32078629	0000-0002-6008-7430	1	1			https://github.com/planosphere/PAGE/issues/8	https://doi.org/10.1371/journal.pgen.1008613
2021-11-01	32122990	0000-0002-9577-840X	1	1			https://github.com/planosphere/PAGE/issues/9	https://doi.org/10.1242/dev.184044
